Slug,Tema,Başlık,Öncelik,Seçilen URL,Durum
ev-tekstillerinin-care-ve-cleaning-guide,profesyonel,Ev Tekstillerinin Bakım ve Temizlik Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=1200&h=630&fit=crop,SUCCESS
canta-temizleme,deri,Çanta Temizleme Blog | İstanbul Anadolu Yakası Çanta Bakım Rehberleri,CRITICAL,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=1200&h=630&fit=crop,SUCCESS
hali-yikama,halı,Halı Yıkama Blog | İstanbul Anadolu Yakası Halı Temizleme Rehberleri,CRITICAL,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=1200&h=630&fit=crop,SUCCESS
kumas-deri-boyama,deri,Kumaş Deri Boyama Blog | İstanbul Anadolu Yakası Renk Yenileme Rehberleri,CRITICAL,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=1200&h=630&fit=crop,SUCCESS
hassas-kumaslar-dry-cleaning-guide,profesyonel,Hassas Kumaşlar İçin Kuru Temizleme Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=1200&h=630&fit=crop,SUCCESS
ev-perdelerinizi-temiz-tutma-guide,perde,Ev Perdelerinizi Temiz Tutma Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=1200&h=630&fit=crop,SUCCESS
deri-ve-kumas-canta-care-guide,deri,Deri ve Kumaş Çanta Bakım Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1520975954732-35dd22299614?w=1200&h=630&fit=crop,SUCCESS
perde-temizleme,perde,Perde Temizleme Blog | İstanbul Anadolu Yakası Perde Bakım Rehberleri,CRITICAL,https://images.unsplash.com/photo-1505691938895-1758d7feb511?w=1200&h=630&fit=crop,SUCCESS
solmus-kiyafetlere-yeni-hayat-verme-guide,deri,Solmuş Kıyafetlere Yeni Hayat Verme Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1551563813-3b8a949fb472?w=1200&h=630&fit=crop,SUCCESS
lostra-hizmeti,deri,Lostra Hizmeti Blog | İstanbul Anadolu Yakası Ayakkabı Parlatma Rehberleri,CRITICAL,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=1200&h=630&fit=crop,SUCCESS
kumas-ve-deri-koltuk-temizligi-guide,mobilya,Kumaş ve Deri Koltuk Temizliği Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1582037928769-181f2644ecb7?w=1200&h=630&fit=crop,SUCCESS
vintage-clothing-ozel-care,profesyonel,Vintage Kiyafetler Ozel Bakim: Uzman Rehberi | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1564069114553-7215e1ff1890?w=1200&h=630&fit=crop,SUCCESS
outdoor-textile-urunleri-carei,profesyonel,Outdoor Tekstil Urunleri Bakimi: Uzman Rehberi | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=1200&h=630&fit=crop,SUCCESS
is-kiyafetleri-professional-care,profesyonel,Iş Kiyafetleri Profesyonel Bakim: Uzman Rehberi | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1574636634015-d89ed47d5c85?w=1200&h=630&fit=crop,SUCCESS
wedding-season-wedding-dress-carei,gelinlik,Duggun Sezonu Gelinlik Bakimi: Uzman Rehberi | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1594736797933-d0d15d95c6a9?w=1200&h=630&fit=crop,SUCCESS
wedding-dress-temizleme-ultimate-rehber,gelinlik,Ultimate Gelinlik Rehberi: A'dan Z'ye | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1519657337289-077653f724ed?w=1200&h=630&fit=crop,SUCCESS
professional-vs-evde-carpet-cleaning-comparison,halı,Profesyonel vs Ev Yapımı: Hali Yikama Kıyaslaması | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1516455590571-18256e5bb9ff?w=1200&h=630&fit=crop,SUCCESS
hali-color-fading-onleme-methods,halı,Hali Renk Solmasi Onleme Yontemleri: Uzman Rehberi | Dry Alle Blog,NORMAL,https://images.unsplash.com/photo-1507089947368-19c1da9775ae?w=1200&h=630&fit=crop,SUCCESS
