Date,Platform,Content Type,Title,Description,Hashtags,CTA,Link Target,Engagement Goal,PR Integration
2025-01-31,Instagram,Week Recap,"Haftanın Özetleri","Bu hafta 150+ mutlu müşteriyle hizmet verdik! Her birinize teşekkürler 🙏","#haftaözeti #müşterimemnuniyeti #teşekkürler #dryalle #150müşteri",Story Paylaş,Share Story,400+ shares,Community Gratitude
2025-02-03,Instagram,Seasonal Content,"Şubat Kampanyası","Sevgililer Günü'ne özel çiftlere %25 indirim! Romantik akşam için ev tekstilinizi yenileyin.","#sevgilerengünü #çift #kampanya #romantik #evtekstili #indirim",Kampanya Detay,Campaign Link,800+ clicks,Valentine's Day Campaign
2025-02-03,LinkedIn,Case Study,"İş Ortaklığı Hikayesi","Lüks otel zincirine verdiğimiz hizmet ve elde ettiğimiz %99.8 müşteri memnuniyeti.","",Vaka Çalışması,Case Study Page,100+ views,B2B Success Story
2025-02-05,TikTok,Trending Sound,"Popüler Müzik + Temizlik","Trend müzikle eğlenceli temizlik videosu. Temizlik bu kadar eğlenceli olabilir!","#temizlik #eğlenceli #trend #müzik #dryalle #viral",Takip Et,Follow,40000+ views,Entertainment Content
2025-02-05,Instagram,User Generated,"Müşteri Fotoğrafları","Müşterilerimizin paylaştığı before/after fotoğrafları! Siz de paylaşın, özel indirim kazanın!","#müşterifotoğrafları #beforeafter #paylaş #indirimkazan #dryalle",Fotoğraf Paylaş,UGC Campaign,500+ submissions,User Generated Content
2025-02-07,Google Posts,Emergency Service,"Acil Hizmet","Düğün, nişan gibi önemli etkinlikler için 24 saat acil hizmet veriyoruz!","",Acil Ara,tel:+905433527474,50+ emergency calls,Emergency Service Highlight
2025-02-10,Instagram,Collaboration,"Influencer İşbirliği","@weddingblogger ile ortak live yayın: Gelinlik bakımının sırları açıklanıyor!","#canlıyayın #gelinlik #düğün #uzman #influencer #işbirliği",Live İzle,Live Stream,2000+ viewers,Influencer Partnership
2025-02-10,TikTok,Educational Series,"Tekstil Eğitim Serisi","Bölüm 1: Kumaş türlerini nasıl tanırsınız? Uzman rehberi başlıyor!","#tekstileğitimi #kumaş #uzman #eğitim #seri #dryalle",Seriyi Takip,Series Playlist,15000+ series views,Educational Content Series
2025-02-12,LinkedIn,Industry News,"Sektör Haberi","Tekstil bakım sektöründe yeni düzenlemeler ve işletmeler için fırsatlar.","",Haberi Oku,News Article,80+ professional shares,Industry Authority
2025-02-14,Instagram,Valentine's Special,"Sevgililer Günü","Sevgililer Günü'nde sevgilinizin favori tekstilini özel bakımla yenileyin! Aşkın dokunuşu.","#sevgilerengünü #aşk #özel #tekstil #romantik #sevgili",Sürpriz Yap,Surprise Service,1000+ romantic bookings,Valentine's Day Activation
2025-02-17,TikTok,Viral Trend,"Transformation Tuesday","#TransformationTuesday - Bu hafta en şaşırtıcı before/after dönüşümümüz!","#transformationtuesday #beforeafter #şaşırtıcı #dönüşüm #viral",Paylaş,Share Video,60000+ transformation views,Viral Content
2025-02-17,Instagram,Local Community,"Mahalle Hikayeleri","Kadıköy'ün en eski kuaföründen aldığımız vintage kumaşın hikayesi...","#mahallehikayeleri #kadıköy #vintage #tarih #mahalle #hikaye",Hikaye Oku,Story Highlight,300+ story views,Local Heritage Content
2025-02-19,Google Posts,Technology,"Teknoloji Güncellemesi","Yeni AI destekli leke tanıma sistemimizle %98 doğrulukla leke türünü belirleyip en etkili temizliği yapıyoruz.","",Teknoloji Detay,Tech Page,150+ tech inquiries,Technology Innovation
2025-02-21,Instagram,Friday Feature,"Cuma Özel","Cuma akşamı özel: Bu hafta sonu evde kalacaklar için ev tekstili yenileme paketi!","#cumaözel #haftasonu #evdekalmak #tekstilyenileme #paket",Paket Al,Package Deal,400+ weekend packages,Weekend Special
2025-02-24,TikTok,Comedy Content,"Eğlenceli İçerik","Müşterilerin getirdiği en garip lekeler! (Tabii ki hepsini çıkardık 😄)","#eğlenceli #gariplek #komedi #temizlik #başardık #dryalle",Gül,Laugh Reaction,80000+ laughs,Comedy Content
2025-02-24,LinkedIn,Research Share,"Araştırma Paylaşımı","'İstanbul Tekstil Bakım Sektörü 2024 Raporu' - Kendi araştırmamızın sonuçları.","",Rapor İndir,Research Download,200+ downloads,Research Authority
